Timestamp,Qual é a sua idade? ,Em qual bairro ou região do Recife você mora? ,Com que frequência você participa de eventos culturais? ,Que tipo de eventos culturais você costuma frequentar?  ,  Onde você costuma descobrir eventos culturais?  ,Quantas plataformas diferentes você costuma usar para descobrir eventos?  ,Você considera fácil encontrar eventos culturais que combinem com seus gostos e que aconteçam perto de você?  ,Você já perdeu um evento que gostaria de ir porque descobriu tarde demais? ,Você sente que eventos gratuitos ou comunitários têm pouca divulgação?  ,Você sente que existem poucos eventos divulgados no seu bairro ou região? ,  Você já foi a um evento que descobriu por acaso (sem ter buscado especificamente por ele)?  ,"Se um aplicativo recomendasse eventos automaticamente com base nos seus interesses, você acharia isso útil?  ",  Você usaria um aplicativo que mostrasse eventos culturais próximos da sua localização?  ,Qual dessas funcionalidades você acharia mais útil?  ,Que outra funcionalidade você acha que seria útil em um aplicativo de eventos? ,"Na sua opinião, o que mais dificulta descobrir eventos culturais no Recife? "
3/13/2026 15:51:27,40 - 59 anos,"Piedade, Jaboatão dos Guararapes",Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Teatro, Cinema, Eventos gastronômicos, Feiras culturais, Exposições ou museus","Instagram, WhatsApp / grupos, Indicação de amigos, Pesquisa no Google",3,Nem fácil nem difícil,Sim,Concordo,Neutro,Não,Útil,Provavelmente usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos",,
3/13/2026 16:05:18,40 - 59 anos,Piedade - Jaboatão ,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Teatro, Cinema","Instagram, Pesquisa no Google",2,Difícil,Sim,Discordo,Concordo,Não,Útil,Com certeza usaria,"Eventos perto de mim, Notificações sobre eventos próximos, Descoberta de eventos gratuitos","Como chegar, estacionamento disponível próximo ",
3/13/2026 16:28:55,16 - 24 anos,Graças,Raramente (1 ou 2 vezes no ano),"Teatro, Cinema, Feiras culturais, Exposições ou museus","Instagram, WhatsApp / grupos, Indicação de amigos",1,Difícil,Sim,Concordo totalmente,Concordo totalmente,Sim,Útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Agenda cultural personalizada","Sites de ingressos (caso tenha que pagar para ir) com preços acessíveis, ou algum lugar com filtragem de preços para os ingressos de eventos.",Falta e dificuldade de divulgação aberta ou ampla.
3/13/2026 16:37:59,40 - 59 anos,Candeias ,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema, Feiras culturais, Eventos esportivos","Instagram, WhatsApp / grupos, Indicação de amigos",2,Difícil,Sim,Concordo totalmente,Discordo,Sim,Muito útil,Com certeza usaria,"Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade",,
3/13/2026 16:40:47,40 - 59 anos,Boa Viagem ,Muito frequentemente (mais de 1 vez ao mês),"Shows ou festivais musicais, Teatro, Cinema, Eventos gastronômicos, Eventos comunitários de bairro, Exposições ou museus","Instagram, WhatsApp / grupos, Indicação de amigos, Sites da prefeitura ou instituições culturais",3,Fácil,Sim,Concordo totalmente,Concordo,Sim,Útil,Provavelmente usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos",Informações sobre preços ,Não tenho dificuldade. A que posso mencionar é que alguns eventos são anunciados muito próximos da realização. 
3/13/2026 18:10:12,16 - 24 anos,Boa Vista ,Raramente (1 ou 2 vezes no ano),"Shows ou festivais musicais, Exposições ou museus",Instagram,2,Muito fácil,Sim,Concordo totalmente,Neutro,Não,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos",,
3/13/2026 18:16:57,16 - 24 anos,Cabo de santo agostinho,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Feiras culturais, ","Instagram, WhatsApp / grupos, Indicação de amigos",2,Difícil,Sim,Concordo,Concordo,Sim,Útil,Talvez usasse,"Recomendações baseadas nos meus interesses, Descoberta de eventos gratuitos",,
3/13/2026 18:19:51,16 - 24 anos,Jardim São Paulo ,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Teatro, Cinema, Feiras culturais, Exposições ou museus","Instagram, Sites da prefeitura ou instituições culturais",1,Fácil,Sim,Concordo,Neutro,Sim,Muito útil,Com certeza usaria,Recomendações baseadas nos meus interesses,Notificações com detalhes do evento ,A pouca divulgação 
3/13/2026 18:27:50,40 - 59 anos,Ibura,Raramente (1 ou 2 vezes no ano),"Cinema, Feiras culturais, Exposições ou museus","Instagram, Indicação de amigos, Sites da prefeitura ou instituições culturais",1,Nem fácil nem difícil,Não,Concordo totalmente,Concordo totalmente,Sim,Útil,Talvez usasse,Recomendações baseadas nos meus interesses,Algoritmo para seleção de interessws,Pouca divulgação 
3/13/2026 18:28:35,16 - 24 anos,Jardim São Paulo,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Teatro, Cinema, Feiras culturais, Exposições ou museus","Instagram, Indicação de amigos, Sites da prefeitura ou instituições culturais",2,Fácil,Sim,Concordo totalmente,Concordo totalmente,Sim,Muito útil,Provavelmente usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Agenda cultural personalizada, Descoberta de eventos gratuitos",,Pouca divulgação ou a divulgação em bolhas muito específicas.
3/13/2026 18:50:37,25 - 39 anos,Zona Sul ,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema, Eventos gastronômicos, Feiras culturais","Instagram, Pesquisa no Google",2,Nem fácil nem difícil,Sim,Concordo,Concordo,Sim,Muito útil,Com certeza usaria,"Recomendações baseadas nos meus interesses, Mapa com eventos da cidade, Descoberta de eventos gratuitos",Direcionar para links de organizadores ou venda de ingressos ,Ampla divulgação 
3/13/2026 18:57:24,16 - 24 anos,Boa Viagem,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Teatro, Cinema","Instagram, Indicação de amigos, Sites da prefeitura ou instituições culturais",2,Difícil,Sim,Concordo totalmente,Concordo,Sim,Muito útil,Provavelmente usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Mapa com eventos da cidade, Agenda cultural personalizada",,
3/13/2026 19:57:12,25 - 39 anos,Ibura,Ás vezes (algumas vezes no ano),"Cinema, Feiras culturais, Exposições ou museus","Instagram, Indicação de amigos",2,Nem fácil nem difícil,Sim,Concordo,Concordo,Sim,Poco útil,Não usaria,Mapa com eventos da cidade,,
3/13/2026 20:11:33,25 - 39 anos,Ibura ,Ás vezes (algumas vezes no ano),Cinema,Instagram,2,Fácil,Sim,Concordo totalmente,Concordo totalmente,Sim,Poco útil,Talvez usasse,"Eventos perto de mim, Recomendações baseadas nos meus interesses",,
3/13/2026 20:16:53,16 - 24 anos,Ibura,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema, Feiras culturais, Exposições ou museus","Instagram, Indicação de amigos, Sites da prefeitura ou instituições culturais",2,Nem fácil nem difícil,Sim,Neutro,Concordo totalmente,Sim,Útil,Talvez usasse,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos",,
3/13/2026 20:31:23,16 - 24 anos,Paulista ,Raramente (1 ou 2 vezes no ano),"Shows ou festivais musicais, Teatro, Cinema, Eventos gastronômicos, Feiras culturais, Eventos comunitários de bairro, Exposições ou museus",Instagram,Nenhuma,Muito difícil,Sim,Concordo totalmente,Concordo totalmente,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos",,
3/13/2026 23:09:12,40 - 59 anos,Zona Norte do Recife,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema, Feiras culturais","Instagram, WhatsApp / grupos, Sites de eventos, Indicação de amigos, Sites da prefeitura ou instituições culturais",4 ou mais,Fácil,Não lembro,Concordo,Concordo,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos",Acho que tá completo,A diversidade cultural e divulgação 
3/13/2026 23:33:14,40 - 59 anos,Prazeres,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema, Feiras culturais, Exposições ou museus","Instagram, WhatsApp / grupos",1,Muito fácil,Sim,Concordo,Concordo totalmente,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos",,Falta de divulgação 
3/13/2026 23:38:55,40 - 59 anos,Piedade ,Ás vezes (algumas vezes no ano),"Cinema, Feiras culturais","Instagram, Indicação de amigos",2,Fácil,Não lembro,Discordo,Concordo,Sim,Útil,Provavelmente usaria,"Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos",,
3/14/2026 5:49:01,60 anos ou mais,Ibura ,Raramente (1 ou 2 vezes no ano),Cinema,Instagram,1,Difícil,Não,Neutro,Concordo,Não,Muito útil,Com certeza usaria,Descoberta de eventos gratuitos,,
3/14/2026 6:51:36,40 - 59 anos,Jaboatão dos Guararapes ,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Teatro, Cinema, Eventos gastronômicos, Feiras culturais, Eventos comunitários de bairro","Instagram, Indicação de amigos",2,Nem fácil nem difícil,Sim,Concordo totalmente,Concordo totalmente,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Mapa com eventos da cidade",,
3/14/2026 10:34:54,60 anos ou mais,Campo Grande -Recife,Frequentemente (1 vez por mês),"Eventos gastronômicos, Feiras culturais, Eventos comunitários de bairro","WhatsApp / grupos, Pesquisa no Google",2,Nem fácil nem difícil,Não lembro,Concordo,Concordo,Sim,Útil,Talvez usasse,Mapa com eventos da cidade,Não sei dizer ,Pouca divulgação 
3/14/2026 11:50:30,60 anos ou mais,Olinda,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Teatro, Cinema, Eventos gastronômicos","Instagram, WhatsApp / grupos, Indicação de amigos, Pesquisa no Google",3,Nem fácil nem difícil,Sim,Concordo totalmente,Concordo totalmente,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Mapa com eventos da cidade",Divulgação com antecedência ,Divulgação 
3/14/2026 11:53:20,40 - 59 anos,Encruzilhada ,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema, Eventos gastronômicos, Feiras culturais","Instagram, WhatsApp / grupos, Indicação de amigos, Pesquisa no Google",2,Fácil,Sim,Discordo,Discordo,Não,Útil,Com certeza usaria,Recomendações baseadas nos meus interesses,Não sei,Não acho dificil
3/14/2026 11:55:30,40 - 59 anos,Jardim São Paulo ,Raramente (1 ou 2 vezes no ano),Feiras culturais,"Instagram, Indicação de amigos",Nenhuma,Difícil,Sim,Concordo,Concordo,Sim,Útil,Provavelmente usaria,"Eventos perto de mim, Notificações sobre eventos próximos, Mapa com eventos da cidade, Descoberta de eventos gratuitos",,
3/14/2026 13:40:20,40 - 59 anos,Moreno ,Frequentemente (1 vez por mês),"Teatro, Cinema, Eventos gastronômicos, Feiras culturais, Eventos comunitários de bairro, Eventos esportivos","Instagram, Indicação de amigos",1,Nem fácil nem difícil,Sim,Concordo totalmente,Concordo,Sim,Útil,Provavelmente usaria,"Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada",Agenda cultural da Região Metropolitana  mensal ,Pouca divulgação por redes sociais 
3/14/2026 13:49:53,25 - 39 anos,Jaboatão dos Guararapes ,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema, Eventos gastronômicos, Feiras culturais, Eventos comunitários de bairro, Exposições ou museus","Instagram, Sites da prefeitura ou instituições culturais, Pesquisa no Google",4 ou mais,Nem fácil nem difícil,Sim,Concordo totalmente,Concordo,Sim,Muito útil,Com certeza usaria,Mapa com eventos da cidade,,Divulgação 
3/14/2026 15:53:16,16 - 24 anos,Moreno/PE,Ás vezes (algumas vezes no ano),"Cinema, Eventos gastronômicos, Feiras culturais","Instagram, Indicação de amigos",2,Nem fácil nem difícil,Sim,Concordo totalmente,Concordo totalmente,Sim,Útil,Provavelmente usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Mapa com eventos da cidade, Descoberta de eventos gratuitos",,
3/14/2026 16:49:16,16 - 24 anos,Moreno,Raramente (1 ou 2 vezes no ano),"Teatro, Eventos gastronômicos, Feiras culturais, Eventos esportivos","Instagram, Pesquisa no Google",2,Difícil,Sim,Concordo totalmente,Neutro,Sim,Muito útil,Provavelmente usaria,Notificações sobre eventos próximos,,
3/14/2026 19:16:15,40 - 59 anos,Barro,Ás vezes (algumas vezes no ano),"Teatro, Cinema, Feiras culturais, Exposições ou museus","Instagram, WhatsApp / grupos, Indicação de amigos",2,Difícil,Sim,Concordo totalmente,Concordo totalmente,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos",Indicação de estacionamento se tem ou não ,Não tem onde encontrar eventos que gosto em um só lugar 
3/16/2026 5:15:28,16 - 24 anos,Candeias ,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema, Feiras culturais","Instagram, Indicação de amigos, Sites da prefeitura ou instituições culturais, Pesquisa no Google",1,Difícil,Sim,Concordo totalmente,Concordo totalmente,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos",,
3/19/2026 13:01:27,25 - 39 anos,Recife,Raramente (1 ou 2 vezes no ano),"Shows ou festivais musicais, Cinema, Feiras culturais, Exposições ou museus","Instagram, WhatsApp / grupos, Indicação de amigos",2,Nem fácil nem difícil,Sim,Concordo totalmente,Concordo,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos",,"Formas de divulgação, a própria dificuldade em ter o evento em si ."
3/25/2026 13:42:45,40 - 59 anos,Graças,Ás vezes (algumas vezes no ano),"Teatro, Cinema, Feiras culturais, Exposições ou museus","Instagram, Indicação de amigos",1,Nem fácil nem difícil,Não lembro,Neutro,Neutro,Sim,Neutro,Talvez usasse,Recomendações baseadas nos meus interesses,,
3/25/2026 13:43:17,25 - 39 anos,Casa Amarela,Frequentemente (1 vez por mês),"Shows ou festivais musicais, Teatro, Eventos gastronômicos, Feiras culturais",Instagram,1,Difícil,Sim,Concordo totalmente,Concordo,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Mapa com eventos da cidade, Descoberta de eventos gratuitos",,
3/25/2026 15:09:59,16 - 24 anos,Apipucos,Ás vezes (algumas vezes no ano),"Teatro, Cinema, Feiras culturais",Instagram,1,Difícil,Sim,Concordo,Discordo,Não,Neutro,Talvez usasse,"Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos",,
