id,timestamp,faixa_etaria,bairro,frequencia_eventos,tipos_eventos,canais_descoberta,num_plataformas,facilidade_descoberta,perdeu_evento_tarde,pouca_divulgacao_gratuitos,poucos_eventos_bairro,foi_evento_acaso,utilidade_recomendacao_app,usaria_app_localizacao,funcionalidades_uteis,sugestao_funcionalidade,dificuldade_descoberta
11,2026-03-13T15:51:27,40-59,"Piedade, Jaboatão Dos Guararapes",Às vezes,Shows ou festivais musicais; Teatro; Cinema; Eventos gastronômicos; Feiras culturais; Exposições ou museus,Instagram; WhatsApp / grupos; Indicação de amigos; Pesquisa no Google,3,Neutro,True,Concordo,Neutro,False,Útil,Provavelmente sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,,
12,2026-03-13T16:05:18,40-59,Piedade - Jaboatão,Às vezes,Shows ou festivais musicais; Teatro; Cinema,Instagram; Pesquisa no Google,2,Difícil,True,Discordo,Concordo,False,Útil,Com certeza sim,Eventos perto de mim; Notificações sobre eventos próximos; Descoberta de eventos gratuitos,"Como chegar, estacionamento disponível próximo ",
13,2026-03-13T16:28:55,16-24,Graças,Raramente,Teatro; Cinema; Feiras culturais; Exposições ou museus,Instagram; WhatsApp / grupos; Indicação de amigos,1,Difícil,True,Concordo totalmente,Concordo totalmente,True,Útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Agenda cultural personalizada,"Sites de ingressos (caso tenha que pagar para ir) com preços acessíveis, ou algum lugar com filtragem de preços para os ingressos de eventos.",Falta e dificuldade de divulgação aberta ou ampla.
14,2026-03-13T16:37:59,40-59,Candeias,Às vezes,Shows ou festivais musicais; Cinema; Feiras culturais; Eventos esportivos,Instagram; WhatsApp / grupos; Indicação de amigos,2,Difícil,True,Concordo totalmente,Discordo,True,Muito útil,Com certeza sim,Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade,,
15,2026-03-13T16:40:47,40-59,Boa Viagem,Muito frequentemente,Shows ou festivais musicais; Teatro; Cinema; Eventos gastronômicos; Eventos comunitários de bairro; Exposições ou museus,Instagram; WhatsApp / grupos; Indicação de amigos; Sites da prefeitura ou instituições culturais,3,Fácil,True,Concordo totalmente,Concordo,True,Útil,Provavelmente sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,Informações sobre preços ,Não tenho dificuldade. A que posso mencionar é que alguns eventos são anunciados muito próximos da realização. 
16,2026-03-13T18:10:12,16-24,Boa Vista,Raramente,Shows ou festivais musicais; Exposições ou museus,Instagram,2,Muito fácil,True,Concordo totalmente,Neutro,False,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,,
17,2026-03-13T18:16:57,16-24,Cabo De Santo Agostinho,Às vezes,Shows ou festivais musicais; Feiras culturais,Instagram; WhatsApp / grupos; Indicação de amigos,2,Difícil,True,Concordo,Concordo,True,Útil,Talvez,Recomendações baseadas nos meus interesses; Descoberta de eventos gratuitos,,
18,2026-03-13T18:19:51,16-24,Jardim São Paulo,Às vezes,Shows ou festivais musicais; Teatro; Cinema; Feiras culturais; Exposições ou museus,Instagram; Sites da prefeitura ou instituições culturais,1,Fácil,True,Concordo,Neutro,True,Muito útil,Com certeza sim,Recomendações baseadas nos meus interesses,Notificações com detalhes do evento ,A pouca divulgação 
19,2026-03-13T18:27:50,40-59,Ibura,Raramente,Cinema; Feiras culturais; Exposições ou museus,Instagram; Indicação de amigos; Sites da prefeitura ou instituições culturais,1,Neutro,False,Concordo totalmente,Concordo totalmente,True,Útil,Talvez,Recomendações baseadas nos meus interesses,Algoritmo para seleção de interessws,Pouca divulgação 
20,2026-03-13T18:28:35,16-24,Jardim São Paulo,Às vezes,Shows ou festivais musicais; Teatro; Cinema; Feiras culturais; Exposições ou museus,Instagram; Indicação de amigos; Sites da prefeitura ou instituições culturais,2,Fácil,True,Concordo totalmente,Concordo totalmente,True,Muito útil,Provavelmente sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Agenda cultural personalizada; Descoberta de eventos gratuitos,,Pouca divulgação ou a divulgação em bolhas muito específicas.
21,2026-03-13T18:50:37,25-39,Zona Sul,Às vezes,Shows ou festivais musicais; Cinema; Eventos gastronômicos; Feiras culturais,Instagram; Pesquisa no Google,2,Neutro,True,Concordo,Concordo,True,Muito útil,Com certeza sim,Recomendações baseadas nos meus interesses; Mapa com eventos da cidade; Descoberta de eventos gratuitos,Direcionar para links de organizadores ou venda de ingressos ,Ampla divulgação 
22,2026-03-13T18:57:24,16-24,Boa Viagem,Às vezes,Shows ou festivais musicais; Teatro; Cinema,Instagram; Indicação de amigos; Sites da prefeitura ou instituições culturais,2,Difícil,True,Concordo totalmente,Concordo,True,Muito útil,Provavelmente sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Mapa com eventos da cidade; Agenda cultural personalizada,,
23,2026-03-13T19:57:12,25-39,Ibura,Às vezes,Cinema; Feiras culturais; Exposições ou museus,Instagram; Indicação de amigos,2,Neutro,True,Concordo,Concordo,True,Pouco útil,Não usaria,Mapa com eventos da cidade,,
24,2026-03-13T20:11:33,25-39,Ibura,Às vezes,Cinema,Instagram,2,Fácil,True,Concordo totalmente,Concordo totalmente,True,Pouco útil,Talvez,Eventos perto de mim; Recomendações baseadas nos meus interesses,,
25,2026-03-13T20:16:53,16-24,Ibura,Às vezes,Shows ou festivais musicais; Cinema; Feiras culturais; Exposições ou museus,Instagram; Indicação de amigos; Sites da prefeitura ou instituições culturais,2,Neutro,True,Neutro,Concordo totalmente,True,Útil,Talvez,Eventos perto de mim; Recomendações baseadas nos meus interesses; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,,
26,2026-03-13T20:31:23,16-24,Paulista,Raramente,Shows ou festivais musicais; Teatro; Cinema; Eventos gastronômicos; Feiras culturais; Eventos comunitários de bairro; Exposições ou museus,Instagram,0,Muito difícil,True,Concordo totalmente,Concordo totalmente,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,,
27,2026-03-13T23:09:12,40-59,Zona Norte Do Recife,Às vezes,Shows ou festivais musicais; Cinema; Feiras culturais,Instagram; WhatsApp / grupos; Sites de eventos; Indicação de amigos; Sites da prefeitura ou instituições culturais,4,Fácil,,Concordo,Concordo,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,Acho que tá completo,A diversidade cultural e divulgação 
28,2026-03-13T23:33:14,40-59,Prazeres,Às vezes,Shows ou festivais musicais; Cinema; Feiras culturais; Exposições ou museus,Instagram; WhatsApp / grupos,1,Muito fácil,True,Concordo,Concordo totalmente,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos,,Falta de divulgação 
29,2026-03-13T23:38:55,40-59,Piedade,Às vezes,Cinema; Feiras culturais,Instagram; Indicação de amigos,2,Fácil,,Discordo,Concordo,True,Útil,Provavelmente sim,Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos,,
30,2026-03-14T05:49:01,60+,Ibura,Raramente,Cinema,Instagram,1,Difícil,False,Neutro,Concordo,False,Muito útil,Com certeza sim,Descoberta de eventos gratuitos,,
31,2026-03-14T06:51:36,40-59,Jaboatão Dos Guararapes,Às vezes,Shows ou festivais musicais; Teatro; Cinema; Eventos gastronômicos; Feiras culturais; Eventos comunitários de bairro,Instagram; Indicação de amigos,2,Neutro,True,Concordo totalmente,Concordo totalmente,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Mapa com eventos da cidade,,
32,2026-03-14T10:34:54,60+,Campo Grande -Recife,Frequentemente,Eventos gastronômicos; Feiras culturais; Eventos comunitários de bairro,WhatsApp / grupos; Pesquisa no Google,2,Neutro,,Concordo,Concordo,True,Útil,Talvez,Mapa com eventos da cidade,Não sei dizer ,Pouca divulgação 
33,2026-03-14T11:50:30,60+,Olinda,Às vezes,Shows ou festivais musicais; Teatro; Cinema; Eventos gastronômicos,Instagram; WhatsApp / grupos; Indicação de amigos; Pesquisa no Google,3,Neutro,True,Concordo totalmente,Concordo totalmente,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Mapa com eventos da cidade,Divulgação com antecedência ,Divulgação 
34,2026-03-14T11:53:20,40-59,Encruzilhada,Às vezes,Shows ou festivais musicais; Cinema; Eventos gastronômicos; Feiras culturais,Instagram; WhatsApp / grupos; Indicação de amigos; Pesquisa no Google,2,Fácil,True,Discordo,Discordo,False,Útil,Com certeza sim,Recomendações baseadas nos meus interesses,Não sei,Não acho dificil
35,2026-03-14T11:55:30,40-59,Jardim São Paulo,Raramente,Feiras culturais,Instagram; Indicação de amigos,0,Difícil,True,Concordo,Concordo,True,Útil,Provavelmente sim,Eventos perto de mim; Notificações sobre eventos próximos; Mapa com eventos da cidade; Descoberta de eventos gratuitos,,
36,2026-03-14T13:40:20,40-59,Moreno,Frequentemente,Teatro; Cinema; Eventos gastronômicos; Feiras culturais; Eventos comunitários de bairro; Eventos esportivos,Instagram; Indicação de amigos,1,Neutro,True,Concordo totalmente,Concordo,True,Útil,Provavelmente sim,Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada,Agenda cultural da Região Metropolitana  mensal ,Pouca divulgação por redes sociais 
37,2026-03-14T13:49:53,25-39,Jaboatão Dos Guararapes,Às vezes,Shows ou festivais musicais; Cinema; Eventos gastronômicos; Feiras culturais; Eventos comunitários de bairro; Exposições ou museus,Instagram; Sites da prefeitura ou instituições culturais; Pesquisa no Google,4,Neutro,True,Concordo totalmente,Concordo,True,Muito útil,Com certeza sim,Mapa com eventos da cidade,,Divulgação 
38,2026-03-14T15:53:16,16-24,Moreno/Pe,Às vezes,Cinema; Eventos gastronômicos; Feiras culturais,Instagram; Indicação de amigos,2,Neutro,True,Concordo totalmente,Concordo totalmente,True,Útil,Provavelmente sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Mapa com eventos da cidade; Descoberta de eventos gratuitos,,
39,2026-03-14T16:49:16,16-24,Moreno,Raramente,Teatro; Eventos gastronômicos; Feiras culturais; Eventos esportivos,Instagram; Pesquisa no Google,2,Difícil,True,Concordo totalmente,Neutro,True,Muito útil,Provavelmente sim,Notificações sobre eventos próximos,,
40,2026-03-14T19:16:15,40-59,Barro,Às vezes,Teatro; Cinema; Feiras culturais; Exposições ou museus,Instagram; WhatsApp / grupos; Indicação de amigos,2,Difícil,True,Concordo totalmente,Concordo totalmente,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,Indicação de estacionamento se tem ou não ,Não tem onde encontrar eventos que gosto em um só lugar 
41,2026-03-16T05:15:28,16-24,Candeias,Às vezes,Shows ou festivais musicais; Cinema; Feiras culturais,Instagram; Indicação de amigos; Sites da prefeitura ou instituições culturais; Pesquisa no Google,1,Difícil,True,Concordo totalmente,Concordo totalmente,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,,
42,2026-03-19T13:01:27,25-39,Recife,Raramente,Shows ou festivais musicais; Cinema; Feiras culturais; Exposições ou museus,Instagram; WhatsApp / grupos; Indicação de amigos,2,Neutro,True,Concordo totalmente,Concordo,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,,"Formas de divulgação, a própria dificuldade em ter o evento em si ."
43,2026-03-25T13:42:45,40-59,Graças,Às vezes,Teatro; Cinema; Feiras culturais; Exposições ou museus,Instagram; Indicação de amigos,1,Neutro,,Neutro,Neutro,True,Neutro,Talvez,Recomendações baseadas nos meus interesses,,
44,2026-03-25T13:43:17,25-39,Casa Amarela,Frequentemente,Shows ou festivais musicais; Teatro; Eventos gastronômicos; Feiras culturais,Instagram,1,Difícil,True,Concordo totalmente,Concordo,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Mapa com eventos da cidade; Descoberta de eventos gratuitos,,
45,2026-03-25T15:09:59,16-24,Apipucos,Às vezes,Teatro; Cinema; Feiras culturais,Instagram,1,Difícil,True,Concordo,Discordo,False,Neutro,Talvez,Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos,,
